date,jobdescription,uniq_id
2015-11-22 22:18:16,"Key Responsibilities: Developement of front end applications and public websites of Routofy. Take ownership of the code you write & features you build. Pioneer product ideas, participate in the design and implement them. Effective collaboration with design & UX teams to craft pixel perfect User Experience. Strengthen and improve development and release processes within the team. Requirements: Proficient in Problem Solving, Data Structures and Algorithms. Strong knowledge of browsers front end rendering, responsive design & front end semantics. Experience in developing front end applications at scale. Strong knowledge and experience in writing optimized native HTML, CSS and Javascript. Working knowledge of MVC Javascript frameworks like Angular, Backbone, Knockout, Ember, etc. Experience with Sass, Markdown, Grunt/Gulp, Node JS, Handlebars, Require JS. Knowledge of Javascript design patterns (desirable). Knowledge of Back end web technologies like PHP, Ruby, Perl (desirable). Salary: Not Disclosed by Recruiter Industry: Travel / Hotels / Restaurants / Airlines / Railways Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Desired Candidate Profile Education- UG: B.Tech/B.E. PG:MCA Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: ROUTOFY SERVICES PRIVATE LIMITED Routofy helps users find the most suitable option to reach a destination by showing various transport options - ranging from trains, ights, buses, travelling with your own car or taking a cab all at one place and also optimising them, according to the need of the user, on price, duration and comfort using its proprietary routing and machine learning algorithms. All this on an easy to read and intuitive timeline. Download PPT Photo 1   View Contact Details",41ebd658bbc59a6754e972825cd758aa
2015-11-22 22:18:16,"> Handling incoming calls & providing technical support to subscription plans to the customers. li> Handling Live Chat on RankWatch and other mediums. li> Handle and spearhead customer retention. li> Excellent communication & convincing skills with fluency in English. li> Should be able to multi-task calls (Type & Talk), Should be an avid listener. li> Interact with the customers to resolve their queries related with hardware/ software issues on RankWatch li> Respond to request for support and assistance from customers. li> Flair & Passion for Support. li> Strong customer service skills li> ul> p> Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(NonTechnical) Keyskills technical support chat customer retention handling incoming convincing skills support fluency in english customer service skills avid Desired Candidate Profile Education- UG: Any Graduate PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: RankWatch, Inc. RankWatch is a cloud based Internet Marketing Platform, which has Artificial Intelligence of its own. We help Website Owners and SEO Agencies alike to pin point the key areas where a website is losing traffic and areas where it can gain traffic by tracking areas such as Rankings, Backlinks, Analytics, Competitors etc and then analyzing and providing them Intelligent Data to work with, which in turn increases revenue. It is currently an industry dominant in this space and has been growing exponentially every year. p> Download PPT Photo 1   View Contact Details",6c6dd9a6cf2224783f4d64b990509700
2015-11-22 22:18:25,"Key Responsibilities: Improve our search visibility. Implement Schema. org standards to display rich snippets in search results. Observing search patterns for each service in the online market at city level and optimize title, url and description accordingly to increase click through rate and ensure top rank in search results for targeted keywords. Communicating with marketing team (content-writers or article writers) and helping them in deciding the titles and content more positive towards SEO rather than just readability. Outsource and overlook off-page SEO. Try to use housing blog to help SEO. Maintaining and ensuring the content visibility to search engines. Requirements: More than 2 years of experience in SEO. Extensive knowledge of SEO best practices, search engine algorithms and ranking strategies. Salary: Not Disclosed by Recruiter Industry: Travel / Hotels / Restaurants / Airlines / Railways Functional Area: IT Software - eCommerce , Internet Technologies Role Category:Other Role:IT/Technical Content Developer Desired Candidate Profile Education- UG: BCA PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: ROUTOFY SERVICES PRIVATE LIMITED Routofy helps users find the most suitable option to reach a destination by showing various transport options - ranging from trains, ights, buses, travelling with your own car or taking a cab all at one place and also optimising them, according to the need of the user, on price, duration and comfort using its proprietary routing and machine learning algorithms. All this on an easy to read and intuitive timeline. Download PPT Photo 1   View Contact Details",07f6fd6f69a910ee3565ab660f5606bc
2015-11-22 22:18:35,"Key Responsibilities: Design and build advanced applications for the iOS platform. Collaborate with cross-functional teams to define, design, and ship new features. Unit-test code for robustness, including edge cases, usability, and general reliability. Bug fixing. Improving application performance, optimization for loading times. Continuously discover, evaluate, and implement new technologies to maximize development efficiency. Conduct Code Reviews. Follow Agile Development. Requirements: Bachelors/Masters degree in Computer Science, Engineering or a related subject. Proficient in Problem Solving, Data Structures and Algorithms. Familiarity with design concepts and constraints on mobile platforms. Passion & Deep belief in the potential of mobile platforms. A fanatic about writing beautiful code. Customer/User Empathy - Understand our audience! . Inquisitive and curious about product design and functionality. Highly Proficient in Objective-C and C/C or Swift. Thorough understanding of iOS concepts and technologies. Salary: Not Disclosed by Recruiter Industry: Travel / Hotels / Restaurants / Airlines / Railways Functional Area: IT Software - Mobile Role Category:Programming & Design Role:Software Developer Desired Candidate Profile Education- UG: B.Tech/B.E. PG:MCA Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: ROUTOFY SERVICES PRIVATE LIMITED Routofy helps users find the most suitable option to reach a destination by showing various transport options - ranging from trains, ights, buses, travelling with your own car or taking a cab all at one place and also optimising them, according to the need of the user, on price, duration and comfort using its proprietary routing and machine learning algorithms. All this on an easy to read and intuitive timeline. Download PPT Photo 1   View Contact Details",aa6255092cc9dce974da2642f1031b2f
2015-11-22 22:18:39,"Purpose of the position We are seeking a Data Scientist to join our Big Data team. Candidates are expected to be comfortable working as a quantitative researcher. The ideal candidate should have a keen interest in Big Data technologies and a passion for identifying and answering questions that help us build the best products. Responsibilities and Duties Work closely with the product engineering team to identify and answer important questions Refinement of existing data and new data for machine learning and other identified algorithms Analyse and interpret the results of research and experiments Communicate findings to product managers and engineers Work experience and Skills M.S./M.Tech. or PHD 3 years experience in a relevant role Experience Solving analytical problems using quantitative methods Passion for experimental and factual research Ability to communicate complex quantitative analysis in a clear and precise manner Ability to design actionable to carry out quantitative experiments Familiarity with relational databases and SQL Good knowledge of atleast on analysis tool R, MATLAB or SAS Comfortable working in a Linux environment Salary: Not Disclosed by Recruiter Industry: Other Functional Area: Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology Role Category:R&D Role:Research Scientist Keyskills sql linux sas algorithms matlab machine learning methods product engineering analytical m s Desired Candidate Profile Education- UG: B.Tech/B.E. PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Alethe Consulting Alethe Consulting is end-to-end IT solution provider focused mainly on the IT infrastructure domain. We help customers of all size & domains in doing accelerated business & technology transformation to reduce the total cost of ownership for their IT infrastructure. We aim at delivering innovative and competent solutions and services to our clients globally. Our consultants are enriched with extensive experience in IT Infrastructure Consulting, Design, Implementation & Operations. Our consultants are skilled & certified on all new & innovative technologies available from the complete spectrum of our principle partner companies & have rich experience in delivering them to customers across all industry verticals. We patiently spend quality time & understand the customer requirement, business strategy & operational process to propose a right mix of products & technologies to them which can deliver the best results in an economical way. We are focused on using technology in a way that translates into real, business benefits for our clients. We deliver effective solutions, on time and within budget solutions that are guaranteed to improve productivity and reduce costs. Download PPT Photo 1   View Contact Details",d025cef18645655ca16470579c1cb44c
2015-11-22 22:18:43,"The Team Lead Machine Learning will be a key member of Airwootrsquos technical team reporting to the CEO, responsible for the development and constant evolution of our Artificial Intelligence System. As Team Lead, the spectrum of responsibilities will also include managing the Machine Learning Team in their day to day tasks and any technical challenges they may face. The ideal candidate should be a PhD. in Computer Science with relevant work in Machine Learning demonstrated in peer reviewed conferences or open source projects. The ideal candidate would also bring free-spirited academic creativity within the rigors of a professional business delivery organization. Product culture At Airwoot, we believe in strong team, solid vision and consistent execution. One dimension which binds these characteristics is to have a strong product culture. A strong product culture means that the team understands the importance of continuous execution and learning. We understand the need to break things in order to learn, but we break them faster and mitigate the risks. We understand the need for continuous innovation. We know that great products are the result of team collaboration. We respect and value our designers and engineers. We understand the power of motivated product team and engineering excellence. Summary and Requirements Much of our work on uncovering business insights behind each conversation on social media relies on Machine Learning and AI. We listen to millions of social media conversations and apply learning algorithms to siphon actionable conversations in real-time, classify spam and generalize from that evidence to bring actionable insights. Machine learning at Airwoot involves deep scientific and engineering challenges. Today Machines aren't very good in understanding human languages. In addition to that social media with notoriously noisy text brings even more challenges to the equation with inherently different orthography, intentional message brevity producing ungrammatical structures with ill-formed words, phonetic substitutions, and new age emotional gestures. In disseminating the language of ever evolving social media, the statistics of the data we observe shifts rapidly, the features of interests keep changing, and the scale of social often push us into large-scale distributed training algorithms. We expect you to have in-depth experience with Probabilistic Models , Supervised and Unsupervised Learning , Neural Networks , Support Vector Machines , and have demonstrated history of providing measurable results. The ideal candidate should be a PhD. in Computer Science with relevant work in Machine Learning demonstrated in peer reviewed conferences or open source projects. Job perks Highly passionate team of A-star co-workers, advisors and investors Open and embracing culture for the latest hot technologies a high level of freedom and responsibility a competitive salary, equity benefits Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Team Lead/Technical Lead Keyskills development open source algorithms co social media computer science machine learning benefits artificial intelligence academic Desired Candidate Profile Education- UG: B.Tech/B.E. PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Airwoot Airwoot Download PPT Photo 1   View Contact Details",3501ff78dd4e3ef008c7a6b36cf94c16
2015-11-23 22:17:40,"g> Senior Software Engineer at our company makes use of latest development frameworks & platforms to roll out innovative projects which are (so far) unseen by mankind over internet. The Senior Software Engineer teams up with fellow Senior Software Engineers at our company to contribute in the future of computing with our flagship open source projects accompanied by a few closed source ones. span> Job Roles strong> p> a. Planning p> Planning flowchart of challenging projects that may contribute to future of computing, & the future of \'open source\' li> Radically picking the Platforms, Frameworks, Components, & Tools which facilitate in feasibility & efficiency of project li> Planning & performing \'feasibility analysis\' of flowcharts/ plans drawn li> ul> b. Programming p> Architecting the appropriate Design Pattern of source code li> Writing the Code li> Relying on Tools to ensure accuracy-driven development li> Unit Testing li> ul> c. Algorithms (optional) span> p> Demonstrating knowledge in ""Computer Science Algorithms, or Subject Matter Expertise, or Discrete Maths, or Artificial Intelligence"" to fuel researches at Solutions Beyond li> Validating accuracy/ output of Algorithms by building their prototypes beforehand, or by performing the steps of algorithm manually li> Actively contributing in evolution of ""best practices of development"" - during our monthly meets, which helps multiply precision & speed of development li> ul> d. Collaborating with Team p> Collaborating with peer developers to ensure production of code that is: highly reusable & maintainabl li> Negotiating the features of product with in-house Business Analysts, Software Architects and Usability Engineers li> ul> e. Usability & Business (optional) span> p> Suggesting amplifications in \'Requirements Gathering\' to make product more feature-rich li> Critiquing and suggesting in usability and presentation of product to the team li> ul> Core Requirements strong> p> Experience working with Programming Frameworks, in ANY language of your choice (be it Java, PHP, Objective C, Python, . NET, Python, etc) li> Having used as many Libraries or Packages, in programming language of your choice li> Having configured or modified as much assortment of Open Source projects during his/ her experience (like the open sources listed here) li> Autonomous roadblock solver, with excellent levels of communication & teamwork ability li> ul> p> Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills development tools java php open source computer science objective c maths feasibility analysis requirements gathering Desired Candidate Profile Education- UG: B.Tech/B.E. PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Solution Beyond Software Development Pvt Ltd For a young company, which came into being in the summer of 2003, Solutions Beyond has grown by leaps and bounds. The company was initially started to fund an ambitious research based project on Artificial Intelligence and has grown up to be a software company that continues to develop in the field of Artificial Intelligence, Search Engine Technologies and more. The company initially ventured into outsourcing and almost immediately made a place for itself among fewer companies which would undertake the most risky and non-stereotype projects and engineering challenges that majority of companies of our age wouldnt want to burn hands with... Download PPT Photo 1   View Contact Details",4d212bfd2062cac4a962dd1226ca269b
2015-11-23 22:17:42,"As Front-end Developer you will be doing designing and programing of the front-end of our SaaS software. Join us on the road to becoming the leading natural language processing (NLP)-based market research tool giving market researchers the information advantage they need. Our offer: Attractive start-up atmosphere: no hierarchies, independent work environment (including home office), fast pace and fun team events Unique chance and challenge to develop an innovative tool at the intersection of Natural Language Processing, Machine Learning and Linguistics An international and enthusiastic team with high technical expertise and lots of fun Ambitious, self-responsible tasks and projects that leave space for creativity and provide the chance of a steep learning curve Front-end Developer Job Description Designing and coding the UI, in close cooperation with designer and back end-team. Deep development experience in HTML5/CSS, JavaScript Creatively designing and implementing new features with graphical visualizations Participating in constant improvements (functionality, user friendliness, performance Ability to write high-performance, reusable, and documented code for UI Desired Candidate Profile Strong learning capability as will be developing Multilingual website Should be creative and analytical Good communication skill Willing to work in any shift Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills development market research events analytical website front end coding javascript machine learning natural language processing Desired Candidate Profile Education- UG: B.Tech/B.E. PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: PIE MULTILINGUAL SERVICES (P) Ltd. PIE MULTILINGUAL SERVICES is a global professional service firm committed to provide a wide range of outsourcing solution with diversified client base to meet the demand of various corporate houses. Download PPT Photo 1   View Contact Details",191e25c5b37ae5c1bb2b27948149905a
2015-11-23 22:17:44,"UI/ UX designers at Solutions Beyond are expected to coordinate with a cross-functional team of experts in order to brainstorm, research, wireframe, design and refine user experiences. This position will require you to wear many different hats as we build cool stuff on the web, desktop and hybrids. We expect our design freaks to: span> p> Be responsible for creating Characters, Backgrounds and Animation. li> Be involved in designing game UI, Wireframes and Splash. li> Work in a team environment with other artists, programmers and designers. li> Illustrate and develop sketches, drawing to support production. li> ul> Desired Candidate Profile: p> Preferably possess 1 years of experience in Game designing (either Android/ iOS platforms). li> Preferably possess a Degree in Fine Arts. li> Demonstrate excellent sketching skills, strong visualization & ability to create and develop characters and environments. li> Knowledge of 3D software is a plus. li> Possess an ability to flourish in a fast paced, iterative, deadline driven environment. li> Passionately research new technologies, provide feasibility assessments and accurate estimates for project implementations. li> Collaborate with the Product Managers, Engineers, Marketers and Clients to ensure production of code that is: highly reusable & maintainable Possess a creative eye and have a keen sense for color, typography, layout and usability. li> ul> Key Skills: p> Proficient in Adobe Photoshop, Illustrator, Flash, Digital Painting, Concept Art, Designer, Artist, Game artist, iphone gaming, Android Gaming, Game Art, Animation and Gaming. p> Benefits and Perks: p> Passionate people like you receive a wide variety of financial and personal job benefits at SB. We honour flexi timing policy. Your time will be recorded and billed to the nearest minute with overtime (if applicable) after duty hours. p> We work 5 days a week - Monday to Friday with 6 leaves per quarter (3 casual leaves, and 3 medical leaves). We live and work in a positive, high-energy environment with frequent chill outs and happy hours, offering you opportunities to further your career and make a real difference in peoples lives. p> Please include a link to your portfolio of work within your resume if you think you can crush this opportunity p> p> Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Graphic/Web Designer Keyskills desktop gaming iphone animation passionate android layout benefits illustrator fine arts Desired Candidate Profile Education- UG: Any Graduate PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Solution Beyond Software Development Pvt Ltd For a young company, which came into being in the summer of 2003, Solutions Beyond has grown by leaps and bounds. The company was initially started to fund an ambitious research based project on Artificial Intelligence and has grown up to be a software company that continues to develop in the field of Artificial Intelligence, Search Engine Technologies and more. The company initially ventured into outsourcing and almost immediately made a place for itself among fewer companies which would undertake the most risky and non-stereotype projects and engineering challenges that majority of companies of our age wouldnt want to burn hands with.. Download PPT Photo 1   View Contact Details",6f5490d628ffc04c87edb54dfb1b51ac
2015-11-23 22:17:50,"g> System Administrator at our company makes use of the latest system administration tools & practices to erect infrastructure demanded by our Software Development team. The infrastructure erected would support several ambitious projects reaching millions of users (such as a closed domain search engine). In addition to managing machines, the System Administrator also needs to regulate humans - by granting adequate privileges to performers within the team who make use of the infrastructure. span> Job Roles strong> p> a. Erect new infrastructure create, plan, & deploy span> p> Server machine(s) to meet computing needs of products shipped by development team li> High Availability Load Balancers li> Storage solution for \'high transaction\' data, or several TBs of data li> ul> b. Optimize infrastructure p> Benchmarking & optimizing Application Servers, & Operating Systems li> Emulating load test or stress test on infrastructure li> Consolidating servers, and save on infrastructure costs li> ul> c. Monitor infrastructure p> Devise (& setup) test plans for monitoring of infrastructure li> Trigger escalation based alerts, notifying adequate team members to take their positions in case of emergency li> Automating resolution of downtimes by deploying proactive scripts/ solutions in place li> ul> d. Secure & hack-proof the infrastructure p> Maintaining community accepted best practices to keeep infrastructure secure li> Make test plans to audit security of infrastructure li> Craft & apply the plan for \'what happens when we are compromised li> ul> Core Requirements: strong> p> Fresher with \'fire\' in his/ her belly - who is Self motivated enough to use the supplied training material, learns the training material & achieves above challenges while working with a busy mentor. li> Excellent levels of communication, and morale made of iron li> ul> p> Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Network Administration , Security Role Category:Admin/Maintenance/Security/Datawarehousing Role:System Administrator Keyskills server system administration monitoring development audit software development tools maintaining benchmarking proactive Desired Candidate Profile Education- UG: B.Tech/B.E. PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Solution Beyond Software Development Pvt Ltd For a young company, which came into being in the summer of 2003, Solutions Beyond has grown by leaps and bounds. The company was initially started to fund an ambitious research based project on Artificial Intelligence and has grown up to be a software company that continues to develop in the field of Artificial Intelligence, Search Engine Technologies and more. The company initially ventured into outsourcing and almost immediately made a place for itself among fewer companies which would undertake the most risky and non-stereotype projects and engineering challenges that majority of companies of our age wouldnt want to burn hands with... Download PPT Photo 1   View Contact Details",e2b37f85fdf0907422132d56624d6ef2
